"start_node","end_node","weight","start_node_degree","end_node_degree"
"chr1:4834966","chr1:4844545",3,3,1
"chr1:4834966","chr1:4847747",1,3,5
"chr1:4844740","chr1:4846632",1,3,1
"chr1:4844740","chr1:4847747",19,3,5
"chr1:4847872","chr1:4848970",1,3,1
"chr1:4847872","chr1:4852790",40,3,3
"chr1:4852957","chr1:4854173",12,3,1
"chr1:4852957","chr1:4855795",1,3,3
"chr1:4907298","chr1:4907824",1,2,1
"chr1:4907298","chr1:4909609",1,2,1
"chr1:4911356","chr1:4915185",2,3,1
"chr1:4911356","chr1:4937692",1,3,5
"chr1:4957055","chr1:4959682",16,1,1
"chr1:5154787","chr1:5159231",7,2,3
"chr1:5168357","chr1:5171292",1,1,1
"chr1:6285182","chr1:6293822",1,5,1
"chr1:6285182","chr1:6298163",43,5,3
"chr1:6285182","chr1:6331153",1,5,5
"chr1:6315204","chr1:6315381",20,3,1
"chr1:6315204","chr1:6331153",1,3,5
"chr1:7159441","chr1:7190417",8,3,1
"chr1:7159441","chr1:7217860",1,3,4
"chr1:7217964","chr1:7225303",1,5,1
"chr1:7217964","chr1:7231115",15,5,3
"chr1:7217964","chr1:7239738",2,5,6
"chr1:7233596","chr1:7236532",4,5,1
"chr1:7233596","chr1:7236536",2,5,1
"chr1:7233596","chr1:7237006",2,5,1
"chr1:7233596","chr1:7239738",445,5,6
"chr1:7385157","chr1:7452197",1,4,1
"chr1:7385157","chr1:7452250",1,4,1
"chr1:7385157","chr1:7467941",8,4,3
"chr1:8874195","chr1:9069409",1,2,5
"chr1:9021115","chr1:9066770",2,3,1
"chr1:9021115","chr1:9069409",7,3,5
"chr1:9273486","chr1:9319543",1,3,1
"chr1:9273486","chr1:9368357",4,3,2
"chr1:9868472","chr1:9897237",1,1,1
"chr1:9935574","chr1:9935687",3,2,1
"chr1:9935574","chr1:9938607",8,2,1
"chr1:9955979","chr1:9956271",1,1,1
"chr1:10002407","chr1:10007220",1,1,1
"chr1:10012381","chr1:10012543",2,5,1
"chr1:10012381","chr1:10012547",1695,5,4
"chr1:10012381","chr1:10012834",1,5,6
"chr1:10012610","chr1:10012834",6,2,6
"chr1:10012617","chr1:10012834",2227,4,6
"chr1:10012617","chr1:10014244",7,4,5
"chr1:10012943","chr1:10014168",2,4,1
"chr1:10012943","chr1:10014244",364,4,5
"chr1:10012943","chr1:10014309",1,4,1
"chr1:10039157","chr1:10046811",28,5,1
"chr1:10039157","chr1:10049040",18,5,3
"chr1:10039157","chr1:10055816",16,5,2
"chr1:10055935","chr1:10061246",1,3,1
"chr1:10055935","chr1:10061973",1,3,1
"chr1:10055935","chr1:10065370",1,3,1
"chr1:10105389","chr1:10107886",2,1,1
"chr1:10129049","chr1:10130048",3,1,1
"chr1:10166239","chr1:10174436",1,3,1
"chr1:10166239","chr1:10178593",5,3,3
"chr1:11484862","chr1:11490887",1,4,1
"chr1:11484862","chr1:11538216",1,4,1
"chr1:11484862","chr1:11538232",6,4,1
"chr1:11484862","chr1:11582141",64,4,1
"chr1:11588934","chr1:11615377",2,1,1
"chr1:11666542","chr1:11667188",3,2,1
"chr1:11666542","chr1:11667193",1,2,1
"chr1:11868791","chr1:11900038",19,3,1
"chr1:11868791","chr1:12003767",3,3,4
"chr1:11900116","chr1:11957035",2,3,1
"chr1:11900116","chr1:12003767",57,3,4
"chr1:12003816","chr1:12021186",3,2,2
"chr1:12021281","chr1:12042269",16,5,2
"chr1:12021281","chr1:12059551",1,5,3
"chr1:12021281","chr1:12059555",1,5,1
"chr1:12856923","chr1:12861314",1,2,1
"chr1:12856923","chr1:12866989",2,2,1
"chr1:13294938","chr1:13327106",1,2,1
"chr1:13294938","chr1:13356192",10,2,1
"chr1:13356250","chr1:13369886",2,5,1
"chr1:13356250","chr1:13376853",1,5,1
"chr1:13356250","chr1:13443814",3,5,2
"chr1:13356250","chr1:13444161",6,5,1
"chr1:13649791","chr1:13649913",17,3,1
"chr1:13649791","chr1:13651246",14,3,3
"chr1:14826462","chr1:14844040",30,1,1
"chr1:14845833","chr1:14846746",3,2,1
"chr1:14845833","chr1:14865743",1,2,1
"chr1:14884410","chr1:15048142",7,1,1
"chr1:15877961","chr1:15883264",14,2,3
"chr1:15883387","chr1:15886109",10,3,1
"chr1:15883387","chr1:15889157",2,3,3
"chr1:15889988","chr1:15892140",1,1,1
"chr1:15901791","chr1:15903624",1,1,1
"chr1:16172156","chr1:16172713",1,2,3
"chr1:16173909","chr1:16174360",1,2,1
"chr1:16173909","chr1:16174588",12,2,1
"chr1:16416236","chr1:16427739",1,2,1
"chr1:16416236","chr1:16436302",529,2,1
"chr1:16510683","chr1:16533258",21,2,2
"chr1:16533419","chr1:16556243",2,3,1
"chr1:16533419","chr1:16579565",3,3,3
"chr1:16556375","chr1:16561464",1,1,1
"chr1:16579633","chr1:16589396",3,3,1
"chr1:16579633","chr1:16590224",1,3,2
"chr1:16652227","chr1:16655499",13,2,2
"chr1:16655656","chr1:16668174",68,6,3
"chr1:16655656","chr1:16672485",2,6,3
"chr1:16655656","chr1:16689460",1,6,4
"chr1:16672578","chr1:16689460",32,2,4
"chr1:16713703","chr1:16715905",1,5,1
"chr1:16713703","chr1:16715909",3205,5,3
"chr1:16713703","chr1:16718178",3,5,5
"chr1:16716054","chr1:16717211",7,4,3
"chr1:16716054","chr1:16718178",73,4,5
"chr1:16718232","chr1:16726519",3,7,1
"chr1:16718232","chr1:16726839",1,7,1
"chr1:16718232","chr1:16727045",24,7,3
"chr1:16718232","chr1:16727085",4,7,1
"chr1:16718232","chr1:16727135",6,7,1
"chr1:16718232","chr1:16727215",1,7,1
"chr1:16761998","chr1:16771018",1,2,2
"chr1:16762564","chr1:16771072",1,2,2
"chr1:16771148","chr1:16776396",30,3,2
"chr1:16771148","chr1:16776398",1,3,1
"chr1:17169050","chr1:17169348",7,2,1
"chr1:17169050","chr1:17198941",1,2,1
"chr1:17215813","chr1:17217159",2,3,1
"chr1:17215813","chr1:17227184",1,3,3
"chr1:17228728","chr1:17229877",1,2,1
"chr1:17228728","chr1:17230147",22,2,1
"chr1:17993661","chr1:18009438",1,1,1
"chr1:18014824","chr1:18042608",1,10,1
"chr1:18014824","chr1:18050758",1,10,1
"chr1:18014824","chr1:18051995",19,10,3
"chr1:18014824","chr1:18064959",4,10,1
"chr1:18014824","chr1:18067659",1,10,1
"chr1:18014824","chr1:18069583",18,10,4
"chr1:18014824","chr1:18105033",6,10,3
"chr1:18052089","chr1:18128424",1,2,5
"chr1:19106214","chr1:19133629",1,4,1
"chr1:19106214","chr1:19135106",4,4,4
"chr1:19106214","chr1:19181457",1,4,1
"chr1:19133749","chr1:19134133",3,5,1
"chr1:19133749","chr1:19134524",1,5,1
"chr1:19133749","chr1:19135106",261,5,4
"chr1:19133749","chr1:19135134",1,5,1
"chr1:19135266","chr1:19145325",1,4,3
"chr1:19135266","chr1:19174893",5,4,3
"chr1:19213203","chr1:19218527",16,3,1
"chr1:19213203","chr1:19236182",1,3,4
"chr1:19218642","chr1:19236182",250,2,4
"chr1:21296904","chr1:21299631",1,2,1
"chr1:21296904","chr1:21299814",33,2,1
"chr1:22434753","chr1:22434812",1,2,1
"chr1:22434753","chr1:22434820",1,2,1
"chr1:22467788","chr1:22474667",1,6,2
"chr1:22467788","chr1:22491964",1,6,4
"chr1:22467788","chr1:22497711",1,6,3
"chr1:22635666","chr1:22669492",1,3,1
"chr1:22635666","chr1:22766010",2,3,4
"chr1:22669562","chr1:22766010",15,4,4
"chr1:22669562","chr1:22844641",7,4,7
"chr1:22786243","chr1:22803222",1,4,1
"chr1:22786243","chr1:22807358",2,4,1
"chr1:22786243","chr1:22844641",1,4,7
"chr1:23415331","chr1:23417806",171,1,1
"chr1:23905379","chr1:23910518",6,3,1
"chr1:23905379","chr1:23915454",1,3,4
"chr1:23910600","chr1:23912502",1,3,1
"chr1:23910600","chr1:23915454",121,3,4
"chr1:23916876","chr1:23930940",1562,3,1
"chr1:23916876","chr1:23961118",4,3,4
"chr1:23931075","chr1:23942175",2,3,1
"chr1:23931075","chr1:23961118",402,3,4
"chr1:24010847","chr1:24011349",11,2,3
"chr1:24035442","chr1:24042227",4,3,1
"chr1:24035442","chr1:24042237",145,3,2
"chr1:24069610","chr1:24069822",57,3,1
"chr1:24069610","chr1:24071743",4,3,3
"chr1:24071818","chr1:24083194",2,3,1
"chr1:24071818","chr1:24124491",1,3,4
"chr1:24107060","chr1:24124491",6,4,4
"chr1:24107060","chr1:24139141",2,4,4
"chr1:24125693","chr1:24137711",1,3,1
"chr1:24125693","chr1:24139141",6,3,4
"chr1:30673137","chr1:30674045",1,3,1
"chr1:30673137","chr1:30689635",7,3,5
"chr1:30674133","chr1:30689635",1,4,5
"chr1:30674133","chr1:30794514",1,4,3
"chr1:30860396","chr1:30863290",328,3,4
"chr1:30860396","chr1:30863308",1,3,1
"chr1:30863601","chr1:30868923",9,7,1
"chr1:30863601","chr1:30876185",5,7,4
"chr1:30863601","chr1:30902067",6,7,7
"chr1:30863601","chr1:30912658",18,7,7
"chr1:30870641","chr1:30876185",2,6,4
"chr1:30870641","chr1:30902067",1,6,7
"chr1:30870641","chr1:30912658",1,6,7
"chr1:30876348","chr1:30902067",7,4,7
"chr1:30876348","chr1:30912658",3,4,7
"chr1:32283109","chr1:32349878",32,3,3
"chr1:32283109","chr1:32372546",5,3,1
"chr1:32511847","chr1:32515262",2,2,1
"chr1:32511847","chr1:32658251",6,2,1
"chr1:32698723","chr1:32718792",1,1,1
"chr1:32965875","chr1:32977377",1,1,1
"chr1:33758702","chr1:33758832",1,3,1
"chr1:33758702","chr1:33758860",52,3,3
"chr1:33825614","chr1:33840449",1,3,1
"chr1:33825614","chr1:33844419",9,3,3
"chr1:33844501","chr1:33852807",38,1,1
"chr1:34512491","chr1:34512659",9,1,1
"chr1:34790105","chr1:34791190",2,1,1
"chr1:34845576","chr1:34846104",1,2,1
"chr1:34845576","chr1:34846139",13,2,1
"chr1:34852532","chr1:34856063",2,2,1
"chr1:34852532","chr1:34856078",1,2,1
"chr1:34859091","chr1:34867847",1,2,4
"chr1:36260406","chr1:36264561",2,2,1
"chr1:36260406","chr1:36266564",7,2,1
"chr1:36459117","chr1:36459538",1,3,1
"chr1:36459117","chr1:36463918",1,3,3
"chr1:36482691","chr1:36483117",3,2,1
"chr1:36482691","chr1:36484130",2,2,1
"chr1:36573519","chr1:36575577",1,1,1
"chr1:36578616","chr1:36580904",4,2,1
"chr1:36578616","chr1:36580939",10,2,1
"chr1:36730771","chr1:36731272",3,4,1
"chr1:36730771","chr1:36731291",488,4,3
"chr1:36730771","chr1:36731338",1,4,1
"chr1:36731366","chr1:36731511",15,2,1
"chr1:36731366","chr1:36731531",8595,2,1
"chr1:36731632","chr1:36732277",33015,4,3
"chr1:36731632","chr1:36732283",4,4,1
"chr1:36731632","chr1:36732285",1,4,1
"chr1:36741682","chr1:36745625",1,3,1
"chr1:36741682","chr1:36745950",6,3,2
"chr1:36779423","chr1:36783534",1,1,1
"chr1:36783743","chr1:36796870",2,2,3
"chr1:37411501","chr1:37416658",1,1,1
"chr1:37438002","chr1:37442529",5,2,1
"chr1:37438002","chr1:37447207",3,2,1
"chr1:37470658","chr1:37471631",2,3,1
"chr1:37470658","chr1:37476242",1,3,3
"chr1:37476560","chr1:37477762",774,1,1
"chr1:37503616","chr1:37505617",1,3,1
"chr1:37503616","chr1:37575119",1,3,4
"chr1:37529475","chr1:37534953",5,1,1
"chr1:37535095","chr1:37537653",19,2,1
"chr1:37535095","chr1:37537680",8,2,1
"chr1:37537822","chr1:37573301",1,4,1
"chr1:37537822","chr1:37575119",471,4,4
"chr1:37537822","chr1:37575177",1,4,1
"chr1:37665150","chr1:37667297",3,1,1
"chr1:37683722","chr1:37704502",2,11,1
"chr1:37683722","chr1:37715372",1,11,1
"chr1:37683722","chr1:37715422",77,11,1
"chr1:37683722","chr1:37749047",4,11,1
"chr1:37683722","chr1:37757398",1,11,2
"chr1:37683722","chr1:37758015",3,11,4
"chr1:37683722","chr1:37758650",78,11,4
"chr1:37683722","chr1:37759459",1,11,1
"chr1:37715861","chr1:37758015",2,4,4
"chr1:37715861","chr1:37758650",2,4,4
"chr1:37894455","chr1:37903806",44,4,1
"chr1:37894455","chr1:37904103",15,4,1
"chr1:37894455","chr1:37904186",2,4,1
"chr1:37894455","chr1:37904565",1,4,1
"chr1:37929666","chr1:37932023",41,3,1
"chr1:37929666","chr1:37933019",9,3,3
"chr1:37933097","chr1:37934410",11,1,1
"chr1:37934492","chr1:37936768",116,1,1
"chr1:37936916","chr1:37937141",6221,2,1
"chr1:37936916","chr1:37937149",2,2,1
"chr1:38026861","chr1:38029283",252,3,1
"chr1:38026861","chr1:38033072",3,3,3
"chr1:38034923","chr1:38035973",4,3,1
"chr1:38034923","chr1:38036189",1,3,1
"chr1:38034923","chr1:38036244",1,3,1
"chr1:38037406","chr1:38056886",722,3,1
"chr1:38037406","chr1:38071357",1,3,3
"chr1:38057013","chr1:38057075",1,2,1
"chr1:38057013","chr1:38057105",526,2,1
"chr1:38073185","chr1:38075073",19,2,1
"chr1:38073185","chr1:38075076",1,2,1
"chr1:38118477","chr1:38120239",21,4,4
"chr1:38118477","chr1:38122784",9,4,4
"chr1:38118480","chr1:38120239",11,4,4
"chr1:38118480","chr1:38122784",32,4,4
"chr1:38147549","chr1:38167332",1,5,1
"chr1:38147549","chr1:38168542",20,5,3
"chr1:38147549","chr1:38168835",4,5,2
"chr1:38935138","chr1:38936677",1,2,1
"chr1:38935138","chr1:38936970",3,2,1
"chr1:39233091","chr1:39234290",3,1,1
"chr1:39367536","chr1:39367835",1,1,1
"chr1:39407016","chr1:39407229",252,4,4
"chr1:39407016","chr1:39409094",1,4,6
"chr1:39409221","chr1:39410017",2,2,1
"chr1:39409221","chr1:39410034",34302,2,1
"chr1:39445952","chr1:39465148",1,1,1
"chr1:39581684","chr1:39583972",5,3,1
"chr1:39581684","chr1:39584149",1,3,3
"chr1:39586743","chr1:39588006",24,1,1
"chr1:39588198","chr1:39589534",21,3,1
"chr1:39588198","chr1:39594558",3,3,3
"chr1:39604414","chr1:39615907",3,2,1
"chr1:39604414","chr1:39616235",1,2,1
"chr1:40039135","chr1:40039783",1,1,1
"chr1:40068340","chr1:40070161",1,3,1
"chr1:40068340","chr1:40114920",2,3,3
"chr1:40115799","chr1:40124772",1,2,3
"chr1:42312072","chr1:42315794",2,3,1
"chr1:42312072","chr1:42334859",1,3,1
"chr1:42312072","chr1:42341014",1,3,1
"chr1:42678647","chr1:42679508",1,6,1
"chr1:42678647","chr1:42687537",2,6,1
"chr1:42678647","chr1:42702715",2,6,4
"chr1:42678647","chr1:42706000",2,6,7
"chr1:42687617","chr1:42691721",3,6,1
"chr1:42687617","chr1:42699902",12,6,1
"chr1:42687617","chr1:42702715",1784,6,4
"chr1:42687617","chr1:42706000",3049,6,7
"chr1:42706164","chr1:42712930",1,11,1
"chr1:42706164","chr1:42732100",68,11,3
"chr1:42706164","chr1:42733555",5,11,1
"chr1:42706164","chr1:42733906",37,11,4
"chr1:42706164","chr1:42733949",1,11,4
"chr1:42706164","chr1:42736332",1,11,1
"chr1:42706164","chr1:42736491",1,11,1
"chr1:42706164","chr1:42736917",1,11,1
"chr1:42733651","chr1:42733906",2,4,4
"chr1:42733651","chr1:42733949",1,4,4
"chr1:42734349","chr1:42735380",1,3,3
"chr1:42734349","chr1:42779732",1,3,1
"chr1:42938710","chr1:42942454",6,2,1
"chr1:42938710","chr1:42942461",1,2,1
"chr1:42942625","chr1:42944545",1,3,1
"chr1:42942625","chr1:42944564",750,3,2
"chr1:42992394","chr1:42992631",30,4,1
"chr1:42992394","chr1:43068306",1,4,1
"chr1:42992394","chr1:43071111",5,4,5
"chr1:42992972","chr1:42993688",1,3,1
"chr1:42992972","chr1:43071111",3,3,5
