"junction","presence_in_cells","total_UMI"
"chr10:80129711-80129800_S",3229,42089
"chr10:80129711-80129800_E",3229,42089
"chr9:61820804-61821169_S",3228,55164
"chr9:61820804-61821169_E",3228,55164
"chr11:97920712-97921096_S",3227,50578
"chr11:97920712-97921096_E",3227,50578
"chr18:60910164-60910884_E",3223,45168
"chrX:73316441-73316520_S",3223,42372
"chrX:73316441-73316520_E",3223,42372
"chr8:123830096-123830636_S",3222,45610
"chr8:123830096-123830636_E",3222,45610
"chr15:35932244-35935430_S",3219,37343
"chr15:35932244-35935430_E",3219,37343
"chr11:100211876-100212142_S",3217,59886
"chr11:100211876-100212142_E",3217,59886
"chr14:24542185-24543450_S",3216,40509
"chr14:24542185-24543450_E",3216,40509
"chr16:55790010-55790474_S",3215,39308
"chr6:115782650-115783946_S",3215,39198
"chr6:115782650-115783946_E",3215,39198
"chr7:24587891-24588331_E",3214,32225
"chr11:29496030-29496290_S",3211,40321
"chr11:29496030-29496290_E",3211,40321
"chr19:9962050-9962144_S",3209,68955
"chr19:9962050-9962144_E",3209,68955
"chr11:68794146-68795190_S",3208,42847
"chr11:68794146-68795190_E",3208,42847
"chr5:65546023-65546413_S",3208,42643
"chr5:65546023-65546413_E",3208,42643
"chr5:129910238-129911269_S",3206,64358
"chr1:39409221-39410034_S",3204,34302
"chr7:59633026-59633116_S",3203,53300
"chr7:59633026-59633116_E",3203,53300
"chr12:100171979-100172356_S",3202,44120
"chr12:100171979-100172356_E",3202,44120
"chr8:70961179-70961945_E",3202,32078
"chr16:32877913-32879048_S",3199,34494
"chr16:32877913-32879048_E",3199,34494
"chr6:11900591-11905200_S",3198,36691
"chr6:11900591-11905200_E",3198,36691
"chr12:28681193-28681622_E",3196,30108
"chr7:44771983-44772252_S",3193,31813
"chr7:44771983-44772252_E",3193,31813
"chr7:115931715-115932163_E",3193,27671
"chr19:6109230-6109378_S",3193,27669
"chr19:6109230-6109378_E",3193,27669
"chr7:44775662-44775901_S",3192,28502
"chr7:44775662-44775901_E",3192,28502
"chr18:75135194-75135731_S",3190,31459
"chr18:75135194-75135731_E",3190,31459
"chr11:95964045-95964348_S",3189,45459
"chr15:76790172-76790320_E",3189,36005
"chr11:53319978-53321362_S",3186,31523
"chr11:53319978-53321362_E",3186,31523
"chr7:30316588-30322839_S",3185,31270
"chr7:30316588-30322839_E",3185,31270
"chr4:135777702-135778481_S",3184,26102
"chr4:135777702-135778481_E",3184,26102
"chr17:24940277-24940596_S",3183,29149
"chr17:24940277-24940596_E",3183,29149
"chr1:36731632-36732277_S",3182,33015
"chr1:36731632-36732277_E",3182,33015
"chr15:79962308-79962531_S",3175,38298
"chr15:79962308-79962531_E",3175,38298
"chr14:76084801-76085538_S",3172,28994
"chr14:76084801-76085538_E",3172,28994
"chr17:34171287-34171376_S",3169,26763
"chr17:34171287-34171376_E",3169,26763
"chr15:5146905-5147100_S",3169,26699
"chr15:5146905-5147100_E",3169,26699
"chr3:130522501-130522699_S",3169,23331
"chr9:79662888-79663558_S",3166,33739
"chr9:79662888-79663558_E",3166,33739
"chr3:86045418-86045789_E",3166,28752
"chr7:28051836-28051918_S",3166,25830
